Type
AdUnitAfcSizeError
AdUnitCodeError
AdUnitHierarchyError
ApiError
ApiVersionError
AuthenticationError
ClickTrackingLineItemError
CommonError
CreativeAssetMacroError
CreativeError
CustomCreativeError
CustomTargetingError
DayPartTargetingError
FileError
ForecastError
FrequencyCapError
GeoTargetingError
ImageError
InternalApiError
InvalidEmailError
InvalidUrlError
InventoryTargetingError
InventoryUnitError
InventoryUnitSizesError
LabelEntityAssociationError
LineItemCreativeAssociationError
LineItemCreativeAssociationOperationError
LineItemError
LineItemFlightDateError
LineItemOperationError
NotNullError
NullError
OrderActionError
OrderError
ParseError
PermissionError
PublisherQueryLanguageContextError
PublisherQueryLanguageSyntaxError
QuotaError
RangeError
RegExError
ReportError
RequiredCollectionError
RequiredError
RequiredNumberError
RequiredSizeError
ReservationDetailsError
ServerError
StatementError
StringLengthError
TypeError
UniqueError
UserDomainTargetingError
